player_id,player_name,plateAppearances,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
825159,Yunior Amparo,1,1,0,0,0,0,1.0,1.0,1.0,2.0
702995,Antonio Anderson,2,2,0,1,0,0,1.0,1.0,1.0,2.0
801194,Max Anderson,2,2,1,3,0,0,1.0,1.0,2.5,3.5
803011,Sam Antonacci,2,1,0,0,1,0,1.0,1.0,2.0,3.0
821782,Andreimi Antunez,2,2,0,0,0,0,1.0,1.0,1.0,2.0
700164,Bryant Betancourt,1,1,0,1,0,0,1.0,1.0,1.0,2.0
687749,Jase Bowen,1,1,0,0,0,0,1.0,1.0,1.0,2.0
829939,Jhorman Bravo,1,1,0,0,0,0,1.0,1.0,1.0,2.0
804645,Caden Connor,1,1,0,0,0,0,1.0,1.0,1.0,2.0
695521,Gavin Conticello,1,1,0,2,0,0,1.0,1.0,3.0,4.0
800050,Chase DeLauter,6,4,2,4,2,0,1.0,1.0,2.75,3.75
592273,Brandon Drury,1,1,0,1,0,0,1.0,1.0,1.0,2.0
687867,Clay Dungan,2,1,0,0,1,0,1.0,1.0,2.0,3.0
671272,David García,1,1,0,0,0,0,1.0,1.0,1.0,2.0
801957,Dub Gleed,1,1,0,0,0,0,1.0,1.0,1.0,2.0
665489,Vladimir Guerrero Jr.,3,2,1,2,1,0,1.0,1.0,2.5,3.5
680753,Adam Hackenberg,1,1,0,0,0,0,1.0,1.0,1.0,2.0
623168,Tyler Heineman,1,1,0,0,0,0,1.0,1.0,1.0,2.0
687231,Darell Hernaiz,2,2,0,0,0,0,1.0,1.0,1.0,2.0
681715,Heriberto Hernández,3,2,0,0,1,0,1.0,1.0,1.0,2.0
809101,Tommy Hopfe,1,1,0,0,0,0,1.0,1.0,2.0,3.0
824615,Connor Hujsak,1,1,0,2,0,0,1.0,1.0,2.0,3.0
702140,Ruben Ibarra,1,1,0,0,0,0,1.0,1.0,1.0,2.0
805365,Isaiah Jackson,1,1,0,1,0,0,1.0,1.0,2.0,3.0
699228,Jakey Josepha,1,1,0,1,0,0,1.0,1.0,1.0,2.0
672386,Alejandro Kirk,4,3,1,3,1,0,1.0,1.0,2.333,3.333
800029,Modeifi Marte,1,1,0,1,0,0,1.0,1.0,3.0,4.0
682003,Garrett Martin,1,1,0,0,0,0,1.0,1.0,1.0,2.0
543510,James McCann,2,2,0,1,0,0,1.0,1.0,1.5,2.5
807747,Rikuu Nishida,1,1,0,0,0,0,1.0,1.0,1.0,2.0
835614,Brady O'Brien,2,2,0,1,0,0,1.0,1.0,1.0,2.0
691627,Ricardo Olivar,1,1,0,1,0,0,1.0,1.0,2.0,3.0
696030,Alejandro Osuna,1,1,0,0,0,0,1.0,1.0,1.0,2.0
676566,Shawn Ross,1,1,1,1,0,0,1.0,1.0,4.0,5.0
829035,Andrew Salas,2,2,0,0,0,0,1.0,1.0,1.0,2.0
702278,Nolan Schubart,3,2,1,3,1,0,1.0,1.0,3.0,4.0
683021,Michael Stefanic,5,4,0,1,1,0,1.0,1.0,1.5,2.5
664954,Brett Sullivan,2,2,1,1,0,0,1.0,1.0,3.5,4.5
596142,Gary Sánchez,2,2,0,0,0,0,1.0,1.0,1.0,2.0
